2009 VZ39,2015-2112,811,6.90E-06,6.23,27.9,0.009,-6.2,-7.51,0
2008 ST,2080-2106,10,1.70E-05,3.25,27.1,0.013,-6.21,-6.65,0
2010 VO139,2016-2113,180,1.70E-06,20.62,26.6,0.016,-6.22,-7.42,0
2010 CA,2022-2022,1,4.30E-08,14.7,24.5,0.043,-6.23,-6.23,0
2011 BA60,2029-2110,13,7.80E-09,14.83,22,0.135,-6.23,-6.51,0
2008 EA9,2068-2081,5,2.80E-05,1.28,27.7,0.01,-6.23,-6.73,0
2011 BU59,2093-2114,16,4.30E-06,11.17,26.3,0.019,-6.24,-6.53,0
2003 YS70,2052-2114,17,1.00E-04,3.16,28.8,0.006,-6.25,-6.69,0
2010 UH,2047-2113,33,1.20E-05,6.74,27.1,0.013,-6.25,-6.98,0
2004 HQ1,2079-2113,2,1.80E-07,7.84,23.2,0.077,-6.25,-6.44,0
2009 WQ25,2050-2094,3,1.40E-07,17.35,23.9,0.055,-6.26,-6.53,0
2013 YF21,2048-2048,1,1.10E-10,10.15,17.6,1,-6.27,-6.27,0
2013 RS43,2073-2112,23,1.30E-05,5.69,27,0.013,-6.27,-7.05,0
2014 SR223,2063-2063,1,2.80E-06,15.23,26.8,0.015,-6.29,-6.29,0
2008 DB,2071-2111,11,2.70E-06,6.95,25.7,0.025,-6.29,-6.59,0
1997 UA11,2053-2053,1,4.40E-07,12.02,25.1,0.032,-6.29,-6.29,0
2007 DC,2040-2094,35,1.00E-05,6.71,27.5,0.011,-6.3,-6.92,0
2012 PB20,2066-2106,2,9.00E-07,4.03,24.9,0.035,-6.3,-6.41,0
2005 TA,2099-2113,13,1.80E-05,4.81,27.2,0.012,-6.3,-6.64,0
2014 JV79,2021-2114,159,3.00E-07,11.17,25.2,0.031,-6.31,-7.16,0
2009 MU,2096-2096,1,4.40E-07,13.27,24.5,0.042,-6.31,-6.31,0
2009 TM8,2079-2113,148,5.80E-05,7.96,28.6,0.007,-6.31,-7.48,0
2011 CL50,2036-2076,31,1.50E-05,3.49,27.6,0.01,-6.32,-6.86,0
2008 YY32,2079-2079,2,8.70E-07,10.32,25.2,0.03,-6.33,-6.35,0
2009 FZ10,2111-2114,3,1.40E-06,13.1,25.5,0.027,-6.33,-6.42,0
2010 TD,2072-2091,6,2.80E-06,18.86,26.9,0.014,-6.34,-6.77,0
2010 NN,2060-2112,25,2.90E-05,7.74,28.3,0.007,-6.34,-6.68,0
2013 AB65,2094-2113,9,6.70E-06,24.42,27.6,0.01,-6.35,-6.49,0
2006 DN,2066-2066,1,3.90E-07,4.04,24.5,0.043,-6.38,-6.38,0
2010 TW54,2081-2113,10,1.60E-05,7.78,27.5,0.01,-6.38,-6.41,0
2010 GH7,2093-2114,19,1.60E-05,5.05,27.3,0.012,-6.39,-6.84,0
2008 LD,2049-2113,59,7.80E-05,4.13,28.9,0.006,-6.39,-7.31,0
2008 VL,2016-2113,538,1.20E-05,9.63,27.9,0.009,-6.39,-7.46,0
2011 WN69,2038-2109,4,1.40E-06,23.03,26.2,0.019,-6.4,-6.62,0
2010 TN55,2066-2113,18,2.40E-06,25.36,27,0.014,-6.4,-6.94,0
2012 SG58,2060-2060,1,3.00E-08,15.89,23.1,0.083,-6.44,-6.44,0
